Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude
"Oranbo, Pasig","13,246,000",1,1,46,14.575822,121.064324
"San Antonio, Pasig","26,930,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","22,042,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","12,415,000",1,1,41,14.575822,121.064324
"Ugong, Pasig","16,602,000",1,1,58,14.588882,121.079016
"Oranbo, Pasig","35,121,000",2,2,106,14.575822,121.064324
"Oranbo, Pasig","21,625,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","21,129,000",1,1,66,14.575822,121.064324
"Ugong, Pasig","15,627,000",1,1,53,14.588882,121.079016
"Oranbo, Pasig","20,793,000",1,1,65,14.575822,121.064324
"Oranbo, Pasig","11,539,000",1,1,39,14.575822,121.064324
"Oranbo, Pasig","10,744,000",1,1,34,14.575822,121.064324
"Oranbo, Pasig","11,159,000",1,1,38,14.575822,121.064324
"Oranbo, Pasig","11,629,000",1,1,40,14.575822,121.064324
"Ugong, Pasig","15,898,000",1,1,56,14.588882,121.079016
"Oranbo, Pasig","11,376,000",1,1,39,14.575822,121.064324
"Oranbo, Pasig","12,517,000",1,1,40,14.575822,121.064324
"Oranbo, Pasig","32,121,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","11,809,000",1,1,39,14.575822,121.064324
"Oranbo, Pasig","10,786,000",1,1,34,14.575822,121.064324
"Oranbo, Pasig","12,615,000",1,1,45,14.575822,121.064324
"San Antonio, Pasig","27,611,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","12,245,000",1,1,40,14.575822,121.064324
"Oranbo, Pasig","21,737,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","20,577,000",1,1,65,14.575822,121.064324
"Oranbo, Pasig","21,459,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","12,433,000",1,1,45,14.575822,121.064324
"Oranbo, Pasig","21,361,000",1,1,65,14.575822,121.064324
"Oranbo, Pasig","23,578,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","26,888,000",1,1,76,14.575822,121.064324
"Oranbo, Pasig","21,322,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","32,507,000",2,2,104,14.575822,121.064324
"Ugong, Pasig","16,420,000",1,1,57,14.588882,121.079016
"Oranbo, Pasig","22,153,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","13,227,000",1,1,46,14.575822,121.064324
"Oranbo, Pasig","34,033,000",2,2,106,14.575822,121.064324
"Oranbo, Pasig","23,554,000",1,1,70,14.575822,121.064324
"Oranbo, Pasig","22,973,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","22,061,000",1,1,68,14.575822,121.064324
"Oranbo, Pasig","22,089,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","22,047,000",1,1,65,14.575822,121.064324
"Oranbo, Pasig","22,768,000",1,1,65,14.575822,121.064324
"Oranbo, Pasig","33,499,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","11,761,000",1,1,39,14.575822,121.064324
"Oranbo, Pasig","12,229,000",1,1,40,14.575822,121.064324
"Ugong, Pasig","16,076,000",1,1,57,14.588882,121.079016
"Ugong, Pasig","16,205,000",1,1,57,14.588882,121.079016
"Ugong, Pasig","16,742,000",1,1,58,14.588882,121.079016
